id,y
1,4
2,1
3,1
4,6
5,8
6,6
7,6
8,8
9,1
10,4
11,1
12,6
13,1
14,1
15,1
16,1
17,4
18,6
19,1
20,2
21,1
22,4
23,7
24,8
25,9
26,6
27,4
28,1
29,1
30,8
31,4
32,1
33,8
34,6
35,2
36,4
37,2
38,6
39,3
40,1
41,1
42,2
43,7
44,6
45,6
46,1
47,4
48,7
49,1
50,1
51,1
52,3
53,1
54,8
55,6
56,1
57,6
58,6
59,1
60,1
61,6
62,2
63,8
64,1
65,1
66,9
67,1
68,6
69,4
70,1
71,1
72,1
73,1
74,7
75,7
76,6
77,8
78,8
79,4
80,8
81,8
82,1
83,6
84,4
85,9
86,1
87,2
88,8
89,4
90,6
91,6
92,1
93,1
94,8
95,7
96,4
97,4
98,9
99,9
100,8
101,6
102,9
103,8
104,8
105,4
106,1
107,8
108,1
109,1
110,7
111,6
112,1
113,4
114,4
115,6
116,6
117,4
118,8
119,6
120,1
121,1
122,7
123,6
124,1
125,7
126,1
127,9
128,8
129,1
130,1
131,1
132,5
133,8
134,2
135,2
136,6
137,8
138,6
139,9
140,6
141,1
142,1
143,7
144,6
145,7
146,1
147,4
148,6
149,6
150,2
151,8
152,1
153,1
154,2
155,6
156,6
157,4
158,1
159,1
160,8
161,1
162,9
163,9
164,9
165,4
166,1
167,4
168,2
169,6
170,9
171,1
172,5
173,6
174,1
175,8
176,1
177,1
178,7
179,3
180,1
181,8
182,8
183,9
184,6
185,1
186,9
187,1
188,9
189,9
190,3
191,8
192,4
193,6
194,1
195,7
196,1
197,1
198,6
199,9
200,8
201,8
202,4
203,1
204,9
205,8
206,8
207,3
208,1
209,8
210,8
211,1
212,6
213,8
214,6
215,8
216,4
217,7
218,1
219,8
220,4
221,4
222,6
223,1
224,1
225,8
226,2
227,8
228,1
229,4
230,4
231,1
232,1
233,7
234,6
235,1
236,8
237,6
238,1
239,1
240,9
241,6
242,4
243,6
244,8
245,6
246,4
247,8
248,1
249,4
250,1
251,4
252,8
253,1
254,8
255,6
256,2
257,6
258,1
259,1
260,1
261,1
262,6
263,1
264,6
265,6
266,9
267,6
268,6
269,7
270,1
271,6
272,6
273,8
274,6
275,9
276,6
277,8
278,1
279,6
280,6
281,1
282,1
283,4
284,6
285,3
286,8
287,8
288,1
289,9
290,6
291,7
292,1
293,4
294,3
295,1
296,8
297,6
298,4
299,1
300,1
301,9
302,8
303,1
304,6
305,8
306,6
307,1
308,1
309,8
310,7
311,1
312,9
313,1
314,2
315,8
316,9
317,1
318,6
319,8
320,9
321,1
322,6
323,7
324,6
325,9
326,4
327,1
328,6
329,2
330,6
331,1
332,1
333,8
334,8
335,4
336,1
337,6
338,8
339,1
340,2
341,1
342,4
343,1
344,6
345,9
346,4
347,9
348,6
349,4
350,6
351,1
352,6
353,1
354,1
355,8
356,4
357,3
358,2
359,7
360,1
361,8
362,9
363,1
364,1
365,6
366,1
367,1
368,4
369,8
370,8
371,3
372,4
373,4
374,4
375,1
376,9
377,1
378,9
379,1
380,5
381,2
382,6
383,8
384,1
385,6
386,7
387,8
388,1
389,1
390,1
391,6
392,1
393,4
394,8
395,2
396,1
397,8
398,8
399,3
400,8
401,7
402,4
403,6
404,4
405,1
406,7
407,4
408,1
409,8
410,8
411,9
412,4
413,4
414,6
415,6
416,4
417,7
418,1
419,1
420,8
421,6
422,6
423,1
424,6
425,7
426,1
427,1
428,8
429,1
430,2
431,8
432,8
433,1
434,6
435,1
436,2
437,9
438,6
439,9
440,7
441,9
442,8
443,9
444,7
445,8
446,1
447,8
448,8
449,7
450,6
451,4
452,6
453,8
454,3
455,6
456,7
457,9
458,1
459,1
460,6
461,1
462,9
463,1
464,8
465,9
466,1
467,1
468,2
469,2
470,9
471,8
472,1
473,4
474,7
475,1
476,6
477,1
478,1
479,6
480,8
481,9
482,1
483,2
484,4
485,7
486,6
487,4
488,1
489,6
490,1
491,1
492,6
493,1
494,1
495,7
496,8
497,6
498,1
499,1
500,1
501,1
502,8
503,2
504,9
505,1
506,6
507,9
508,1
509,4
510,4
511,4
512,4
513,9
514,1
515,6
516,8
517,1
518,1
519,9
520,4
521,6
522,8
523,4
524,1
525,8
526,4
527,1
528,6
529,7
530,9
531,9
532,8
533,4
534,6
535,5
536,2
537,8
538,1
539,8
540,8
541,1
542,1
543,6
544,6
545,9
546,6
547,1
548,6
549,8
550,9
551,6
552,9
553,2
554,4
555,8
556,9
557,8
558,1
559,9
560,9
